Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Injuries
Accident,FTW97LA086,1997-01-19,"ATLANTA, TX",United States,Non-Fatal,Substantial,unknown,mahan,STARDUSTER II,Yes,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Takeoff,2.0
Accident,MIA97LA068,1997-01-20,"WINTER HAVEN, FL",United States,Non-Fatal,Substantial,unknown,stinson,108,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Descent,0.0
Incident,SEA97IA051,1997-01-21,"SEATTLE, WA",United States,Incident,Minor,unknown,beech,1900D,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,7.0,VMC,Approach,0.0
Accident,CHI97FA058,1997-01-21,"COTTAGE GROVE, MN",United States,Fatal(2),Destroyed,unknown,mooney,M20J,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Approach,2.0
Accident,CHI97FA056,1997-01-21,"HIGHLAND, MI",United States,Fatal(2),Destroyed,unknown,cessna,210N,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Cruise,2.0
Accident,CHI97LA065,1997-01-21,"GAYLORD, MI",United States,Non-Fatal,Substantial,unknown,cessna,182J,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,CHI97LA057,1997-01-21,"BLOOMINGTON, IN",United States,Non-Fatal,Substantial,unknown,beech,300,No,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,11.0,IMC,Landing,0.0
Accident,LAX97FA093,1997-01-22,"BAGDAD, AZ",United States,Fatal(1),Destroyed,unknown,cessna,R172K,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1.0
Accident,MIA97LA071,1997-01-22,"DAYTONA BEACH, FL",United States,Non-Fatal,Substantial,unknown,socata,TB-9,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,FTW97LA093,1997-01-22,"VALENTINE, TX",United States,Non-Fatal,Substantial,unknown,cessna,180K,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,CHI97FA059,1997-01-22,"CRYSTAL, MN",United States,Non-Fatal,Substantial,unknown,cessna,401,No,2.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,IMC,Takeoff,2.0
Accident,MIA97FA070,1997-01-23,"FORT LAUDERDALE, FL",United States,Fatal(4),Destroyed,unknown,bell,206-B3,No,1.0,Turbo Shaft,Other Work Use,4.0,0.0,0.0,0.0,VMC,Cruise,4.0
Accident,FTW97LA088,1997-01-23,"LONGMONT, CO",United States,Non-Fatal,Destroyed,unknown,beech,B90,No,2.0,Turbo Prop,Ferry,0.0,0.0,1.0,0.0,VMC,Descent,1.0
Accident,FTW97LA087,1997-01-23,"SULPHUR, OK",United States,Non-Fatal,Substantial,unknown,piper,PA-28-140,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,MIA97LA073,1997-01-24,"WILLISTON, FL",United States,Fatal(1),Destroyed,unknown,cress,CRESS B-8-M (BENSEN),Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,1.0
Accident,NYC97LA047,1997-01-24,"WILKES-BARRE, PA",United States,Non-Fatal,Substantial,unknown,cessna,650,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Landing,0.0
Accident,MIA97LA072,1997-01-24,"INDIANTOWN, FL",United States,Non-Fatal,Substantial,unknown,navion,G,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Takeoff,2.0
Accident,NYC97FA048,1997-01-25,"CONRAD, PA",United States,Fatal(1),Destroyed,unknown,cessna,172F,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1.0
Accident,LAX97LA092,1997-01-25,"SAN DIEGO, CA",United States,Fatal(2),Destroyed,unknown,crane,THORP T-18,Yes,1.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,Takeoff,2.0
Incident,IAD97IA045,1997-01-25,"PROVINCETOWN, MA",United States,Incident,Minor,unknown,cessna,402C,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,5.0,IMC,Landing,0.0
Accident,MIA97LA075,1997-01-25,"WHITEVILLE, NC",United States,Non-Fatal,Substantial,unknown,aerospatiale,SA315B,No,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC,Cruise,0.0
Accident,MIA97LA074,1997-01-25,"CLERMONT, FL",United States,Non-Fatal,Substantial,unknown,schweizer,SGS-2-33A,No,0.0,Unknown,Personal,0.0,0.0,1.0,0.0,VMC,Approach,1.0
